artist,title,bpm,key,camelot,energy,danceability,happiness,popularity,acousticness,instrumentalness,speechiness,duration,status
For Revenge,Penyangkalan,77,B Minor,10A,81,44,51,69,0,0,3,4:01,ok
One Direction,Right Now,120,A♭ Major,4B,78,65,37,78,22,0,3,3:20,ok
Last Child,Sekuat Hatimu,176,E Major,12B,68,50,32,72,3,0,3,4:44,ok
Madison Beer,Reckless,180,E♭ Major,5B,43,39,26,71,81,0,4,3:23,ok
Sal Priadi,Amin Paling Serius,130,G Major,9B,26,36,22,72,97,0,3,5:04,ok
Mahalini,Bohongi Hati,131,E♭ Major,5B,46,41,24,72,65,0,3,4:23,ok
Nidji,Hapus Aku,129,G Major,9B,78,64,60,75,38,0,3,4:13,ok
Last Child,Diary Depresiku,132,E Major,12B,75,57,50,72,2,0,5,5:18,ok
Bruno Mars,Talking to the Moon,146,C♯ Minor,12A,59,50,8,85,51,0,3,3:38,ok
Fourtwnty,Hitam Putih,120,D Major,10B,33,52,15,71,79,0,3,4:11,ok
Justin Bieber,Ghost,154,D Major,10B,74,60,44,85,19,0,5,2:33,ok
Mahalini,Melawan Restu,120,G Major,9B,35,63,27,73,81,0,3,3:40,ok
NIKI,Take A Chance With Me,94,B♭ Major,6B,42,63,52,78,84,0,6,5:04,ok
Vionita,"Dia Masa Lalumu, Aku Masa Depanmu",126,G Major,9B,42,48,21,73,61,0,3,4:02,ok
Seventeen,Untuk Mencintaimu,148,C Major,8B,61,35,32,77,17,18,3,3:29,ok
Mitski,My Love Mine All Mine,114,A Major,11B,31,50,12,86,87,14,3,2:18,ok
Billie Eilish,WILDFLOWER,148,F♯ Minor,11A,25,47,13,92,61,0,4,4:21,ok
Idgitaf,Sedia Aku Sebelum Hujan,144,D Major,10B,65,54,60,90,42,0,3,3:50,ok
.Feast,"o,Tuan",131,D Minor,7A,63,53,22,78,6,12,3,5:06,ok
Juicy Luicy,Lampu Kuning,81,G Major,9B,37,54,40,72,79,0,2,3:59,ok
Dewa 19,Aku Milikmu,135,A Major,11B,69,48,23,79,67,0,4,5:33,ok
Rony Parulian,Tak Ada Ujungnya,164,A Major,11B,66,39,38,72,43,3,3,3:23,ok
Noah,Separuh Aku,150,A Major,11B,75,55,72,76,10,9,3,4:26,ok
Hivi!,Remaja,123,A Major,11B,44,62,70,70,71,0,3,3:38,ok
Element,Rahasia Hati,150,B Minor,10A,51,47,24,68,5,0,4,3:44,ok
yung kai,blue,97,E Major,12B,32,75,59,84,93,2,3,3:34,ok
Arash Buana,if u could see me cryin' in my room,140,C♯ Major,3B,17,47,30,70,92,0,4,4:17,ok
GANGGA,Blue Jeans,114,G Major,9B,30,64,29,68,94,8,3,3:31,ok
Bruno Mars,Just the Way You Are,109,F Major,7B,84,64,42,87,1,0,4,3:41,ok
Taylor Swift,Cruel Summer,170,A Major,11B,70,55,56,88,12,0,16,2:58,ok
Conan Gray,Heather,102,F Major,7B,43,36,27,86,58,0,3,3:18,ok
Pamungkas,Risalah Hati,74,B♭ Major,6B,47,51,32,72,74,0,3,5:02,ok
Juicy Luicy,Tanpa Tergesa,96,B Major,1B,29,70,45,69,30,0,3,3:38,ok
Olivia Rodrigo,traitor,101,E♭ Major,5B,34,38,8,87,69,0,3,3:49,ok
Hindia,Kita Ke Sana,112,D Major,10B,82,66,9,77,2,0,3,4:43,ok
Virgoun,Saat Kau Telah Mengerti,73,A♭ Major,4B,31,38,25,71,80,0,4,4:51,ok
NDX A.K.A.,Nemen - Hiphop Dangdut Version,148,F♯ Major,2B,76,64,53,68,51,0,3,4:35,ok
Geisha,Karena Kamu,124,C Major,8B,71,61,71,72,17,0,3,3:55,ok
Aruma,Muak,83,D Major,10B,32,27,19,63,77,0,3,4:25,ok
Soegi Bornean,Asmalibrasi,140,E Major,12B,56,72,79,66,86,0,3,4:15,ok
Ernie Zakri,Masing Masing,134,E♭ Major,5B,50,45,39,72,72,0,3,3:55,ok
One Direction,18,124,F♯ Minor,11A,58,68,22,80,22,0,3,4:08,ok
Afgan,Bawalah Cintaku,116,G Major,9B,39,51,14,19,38,22,3,3:53,ok
Naykilla,Kasih Aba Aba,115,C♯ Minor,12A,54,96,69,80,30,0,6,2:57,ok
Keane,Somewhere Only We Know,172,A Major,11B,64,46,38,64,8,0,3,3:59,ok
