artist,title,bpm,key,camelot,energy,danceability,happiness,popularity,acousticness,instrumentalness,speechiness,duration,status
Khalid,Better,98,C Minor,5A,55,60,11,71,8,33,10,3:49,ok
Sunjae,I'm Missing You,64,F♯ Major,2B,34,35,20,58,57,0,3,3:02,ok
HWASA,Maria,129,A Minor,8A,75,66,44,69,24,0,6,3:19,ok
TheOvertunes,Takkan Kemana,82,E Major,12B,31,58,8,44,33,3,3,4:00,ok
Adele,When We Were Young,144,E♭ Major,5B,60,38,27,74,30,0,5,4:51,ok
raissa anggiani,Losing Us.,136,C Major,8B,21,43,23,71,98,0,3,3:57,ok
V,Love Me Again,74,C Minor,5A,61,63,36,73,18,0,5,3:02,ok
RAYE,Escapism.,96,D Major,10B,74,54,25,75,14,0,11,4:32,ok
Mahalini,Janji Kita,96,A Major,11B,40,47,12,60,32,0,3,4:39,ok
aespa,Dreams Come True,99,C Major,8B,90,69,57,56,7,0,6,3:25,ok
G-Eazy,Good Life,168,C♯ Major,3B,77,56,57,61,0,0,21,3:46,ok
Armada,Bebaskan Diriku,130,A Major,11B,54,46,17,61,19,0,4,4:05,ok
Masdo,Janji Manis,150,G Major,9B,87,46,92,55,17,14,4,3:17,ok
Miguel,Sure Thing,81,B Minor,10A,61,68,50,87,3,0,10,3:15,ok
Katy Perry,The One That Got Away,134,C♯ Minor,12A,79,69,86,74,0,0,4,3:47,ok
iCannn,DJ Tor Monitor Ketua,125,B Major,1B,82,85,95,39,0,35,3,5:11,ok
gamaliél,A Whole New World,116,C Major,8B,23,28,14,69,85,0,4,2:41,ok
TWICE,I CAN'T STOP ME,150,A♯ Minor,3A,88,66,77,74,12,0,10,3:25,ok
Martin Garrix,In the Name of Love,134,E Minor,9A,52,50,17,81,11,0,4,3:19,ok
Niall Horan,Too Much To Ask,77,C Major,8B,53,44,20,65,37,0,4,3:43,ok
BTS,Make It Right,106,G Major,9B,71,64,26,70,1,0,45,3:46,ok
TWICE,The Feels,120,A Major,11B,90,81,92,66,9,0,7,3:18,ok
Dere,Berisik,92,B Major,1B,34,76,43,55,72,0,3,3:23,ok
Justine Skye,Collide (Sped Up Remix),81,D Minor,7A,43,36,26,64,9,0,11,3:41,ok
Shawn Mendes,In My Blood,140,F Major,7B,71,62,49,72,6,0,7,3:31,ok
Faris Adam,Stecu,103,A♭ Major,4B,83,83,91,71,12,0,6,3:44,ok
BTS,Film out,164,B♭ Major,6B,71,50,31,66,30,0,13,3:35,ok
NCT DREAM,Broken Melodies,150,C♯ Major,3B,82,58,39,51,19,0,5,3:46,ok
Reality Club,Am I Bothering You?,137,A Major,11B,89,41,34,66,0,0,8,3:45,ok
Jeremy Zucker,comethru (bonus track),94,C Major,8B,18,80,61,72,61,0,6,3:02,ok
Adele,All I Ask,142,E Major,12B,28,59,35,71,89,0,3,4:32,ok
EXO,Love Shot,146,F Minor,4A,68,69,34,73,7,0,12,3:20,ok
Lil Nas X,Old Town Road - Remix,136,C♯ Major,3B,53,91,51,73,6,0,13,1:53,ok
Utha Likumahuwa,Sesaat Kau Hadir,79,E Major,12B,63,45,61,60,44,0,4,3:57,ok
Drake,God's Plan,77,G Major,9B,45,75,36,85,3,0,11,3:19,ok
Hindia,Evakuasi,85,D Minor,7A,46,67,44,73,40,0,5,3:28,ok
Demi Lovato,Sorry Not Sorry,144,B Minor,10A,64,71,88,72,2,0,23,3:24,ok
BLACKPINK,FOREVER YOUNG - KR Ver.,110,E Major,12B,95,61,51,68,4,0,9,3:59,ok
RealestK,Love Me,122,G Minor,6A,33,57,27,62,67,0,4,3:28,ok
Rihanna,Kiss It Better,95,D♯ Minor,2A,81,62,88,87,27,0,5,4:13,ok
Shania Yan,Nothing's Gonna Change My Love For You,136,F♯ Major,2B,31,64,25,51,90,0,9,3:20,ok
Evan Loss,Full Senyum Sayang,100,E Major,12B,53,75,71,0,64,0,2,4:07,ok
Bernadya,Ambang Pintu,81,A Major,11B,46,49,14,54,88,1,3,3:03,ok
Masdddho,KISINAN,127,F Major,7B,63,59,66,64,61,4,3,3:52,ok
Khalid,Talk,136,C Major,8B,40,90,34,63,5,0,12,3:17,ok
ITZY,달라달라 (DALLA DALLA),125,B Minor,10A,85,79,71,64,0,0,7,3:20,ok
D’MASIV,Pergilah Kasih,136,D Major,10B,62,54,44,65,34,0,3,4:08,ok
BLACKPINK,BOOMBAYAH - KR Ver.,125,F Minor,4A,84,66,40,77,0,0,6,4:01,ok
One Direction,Story of My Life,121,E♭ Major,5B,66,60,29,84,23,0,5,4:05,ok
Faouzia,Minefields,153,C♯ Minor,12A,69,48,24,63,18,0,11,3:11,ok
.Feast,Berita Kehilangan,85,C Major,8B,80,54,47,64,0,1,3,4:20,ok
ENHYPEN,FEVER,73,F♯ Minor,11A,71,60,47,75,6,0,6,2:52,ok
Christina Perri,A Thousand Years,139,B♭ Major,6B,41,42,16,85,31,0,3,4:45,ok
Aldy Maldini,Biar Aku Yang Pergi,136,D Major,10B,65,49,46,65,58,0,4,4:07,ok
Hanin Dhiya,Suatu Saat Nanti,132,B Major,1B,39,48,14,52,77,0,3,4:05,ok
Naughty Boy,La La La,125,F♯ Minor,11A,65,77,26,64,11,0,3,3:42,ok
Taylor Swift,You Need To Calm Down,85,D Major,10B,67,77,71,75,1,0,6,2:51,ok
Post Malone,rockstar,160,F Minor,4A,52,59,13,82,12,0,7,3:38,ok
King Promise,Terminator,113,C♯ Major,3B,64,85,84,53,3,0,4,3:54,ok
James Arthur,Impossible,170,C Minor,5A,70,38,30,82,14,0,9,3:29,ok
Alan Walker,Alone,97,B♭ Major,6B,93,68,16,62,19,0,5,2:41,ok
The Weeknd,Die For You - Remix,67,C♯ Minor,12A,53,53,50,73,23,0,7,3:53,ok
vaultboy,everything sucks,138,F♯ Major,2B,37,76,66,63,1,0,5,1:55,ok
Ed Sheeran,Thinking out Loud,79,D Major,10B,45,78,59,85,47,0,3,4:42,ok
Maroon 5,Don't Wanna Know,100,G Major,9B,61,78,42,68,34,0,7,3:34,ok
Honey Jemlan,"I Like You So Much, You'll Know It",112,F Minor,4A,16,87,60,6,87,0,5,3:12,ok
Elton John,Cold Heart - PNAU Remix,116,C♯ Major,3B,80,80,94,81,3,0,3,3:23,ok
Hivi!,Siapkah Kau 'Tuk Jatuh Cinta Lagi,142,G Major,9B,71,63,90,69,28,0,4,4:40,ok
TWICE,Alcohol-Free,97,A♭ Major,4B,91,69,70,66,5,0,6,3:31,ok
BLACKPINK,Don't Know What To Do,130,F♯ Minor,11A,64,63,41,65,10,0,5,3:21,ok
Sia,Thunderclouds,112,G Major,9B,71,69,49,68,1,0,3,3:07,ok
Adele,Send My Love (To Your New Lover),164,F♯ Minor,11A,53,69,57,72,4,0,9,3:43,ok
The Chainsmokers,Call You Mine,104,E Minor,9A,70,59,52,66,20,0,3,3:38,ok
T.R.I.A.D,Selir Hati,83,A Major,11B,78,64,72,67,6,0,3,4:05,ok
Joji,Die For You,148,A♭ Major,4B,51,47,15,80,37,14,5,3:32,ok
Doel Sumbang,Teteh,97,G Major,9B,73,81,84,59,80,0,3,3:54,ok
Yovie & Nuno,Manusia Biasa (CLB),110,C Major,8B,66,59,67,70,52,0,3,3:47,ok
Reality Club,Alexandra,138,A Major,11B,36,38,14,69,75,0,3,3:59,ok
Conan Gray,Memories,113,B Major,1B,68,34,56,79,1,0,4,4:09,ok
Jung Seung Hwan,Day & Night,132,E♭ Major,5B,27,50,28,58,90,0,3,4:21,ok
Kaash Paige,Love Songs - Bonus,120,F Major,7B,36,64,45,81,83,0,9,2:29,ok
Shawn Mendes,Imagination,90,C Major,8B,46,64,33,73,7,0,2,3:38,ok
Khalid,Location,80,C♯ Minor,12A,45,74,33,78,33,0,43,3:39,ok
SAINt JHN,Roses - Imanbek Remix,122,A♭ Major,4B,72,79,89,47,1,0,5,2:56,ok
Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),146,D Minor,7A,38,65,55,67,7,0,5,2:59,ok
One Direction,Perfect,100,B Minor,10A,82,65,40,82,6,0,7,3:50,ok
Fiersa Besari,Juara Kedua,105,A Major,11B,71,60,31,14,18,0,3,4:43,ok
Justin Bieber,Anyone,116,D Major,10B,52,69,58,72,19,0,3,3:11,ok
Perunggu,Ini Abadi,194,A♭ Major,4B,29,16,34,72,87,0,3,3:52,ok
Jaz,Dari Mata,110,C Major,8B,63,69,61,60,33,0,5,3:43,ok
Yellow Claw,Hush,156,D Major,10B,65,64,34,44,12,0,3,3:48,ok
DJ Buncit,Dj Gak Pake Lama,165,C♯ Minor,12A,96,55,80,0,9,30,4,3:19,ok
Arvian Dwi,Ajarkan Aku...,109,B Major,1B,41,37,31,56,66,0,3,4:40,ok
My Chemical Romance,I Don't Love You,170,C Major,8B,80,29,33,78,1,0,5,3:59,ok
Naura Ayu,Jalan Tengah,120,F Major,7B,26,39,22,48,97,0,4,4:51,ok
Beach Bunny,Cloud 9,81,E Major,12B,93,64,90,72,0,0,5,2:27,ok
BABYMONSTER,LIKE THAT,102,B Minor,10A,50,87,76,73,32,0,10,2:48,ok
Bruno Mars,24K Magic,107,C♯ Major,3B,80,82,63,85,3,0,8,3:46,ok
Troye Sivan,YOUTH,92,G Major,9B,74,62,59,65,6,0,4,3:05,ok
Billie Eilish,idontwannabeyouanymore,170,G Major,9B,41,48,25,79,74,0,4,3:24,ok
The Weeknd,I Feel It Coming,93,C Minor,5A,82,77,59,78,43,0,12,4:29,ok
88rising,La La Lost You,100,D Major,10B,58,72,49,67,32,0,4,3:20,ok
Marshmello,Alone,142,D Major,10B,95,63,42,72,2,2,3,4:34,ok
Peggy Gou,(It Goes Like) Nanana - Edit,130,G Minor,6A,88,67,96,75,12,19,4,3:52,ok
Kygo,Stargazing,99,F Major,7B,50,68,42,63,15,0,8,3:57,ok
Taylor Swift,exile,76,F♯ Major,2B,38,30,15,79,78,0,3,4:46,ok
Woro Widowati,Dalan Liyane,130,B♭ Major,6B,13,66,35,37,95,0,3,4:16,ok
The Weeknd,Call Out My Name,134,C♯ Major,3B,59,46,17,86,17,0,4,3:48,ok
NCT DREAM,Life Is Still Going On,150,C Minor,5A,75,68,68,62,16,0,7,3:39,ok
Judika,Putus Atau Terus,136,A Major,11B,17,69,37,70,78,0,4,4:07,ok
Guyon Waton,Nemen,132,E Major,12B,62,72,64,66,18,0,3,4:49,ok
POTRET,Mungkin,108,E Minor,9A,34,64,35,53,64,0,3,3:28,ok
JEON SOMI,BIRTHDAY,180,G Major,9B,84,69,60,49,2,0,11,3:06,ok
Taylor Swift,Look What You Made Me Do,128,A Minor,8A,71,77,51,78,20,0,12,3:32,ok
BTS,DNA,130,C♯ Minor,12A,78,60,70,72,2,0,5,3:43,ok
Last Child,Tak Pernah Ternilai,135,E Major,12B,84,52,41,57,1,0,4,4:13,ok
Jeff Bernat,Call You Mine,90,B Minor,10A,57,79,63,58,84,2,5,3:35,ok
Rich Brian,Glow Like Dat,140,B♭ Major,6B,59,79,58,46,41,0,7,3:31,ok
Kep1er,WA DA DA,126,B♭ Major,6B,91,79,69,56,0,0,9,3:04,ok
JP Saxe,"Hey Stupid, I Love You",92,F Minor,4A,59,76,87,49,22,0,43,3:01,ok
Rony Parulian,Pesona Sederhana,114,A Major,11B,48,73,61,70,20,0,3,4:15,ok
BTS,Blue & Grey,122,A♭ Major,4B,61,55,36,68,42,0,4,4:15,ok
Olivia Rodrigo,All I Want,78,C Minor,5A,43,38,13,74,9,0,3,2:57,ok
Guyon Waton,Menepi Cover,129,A Major,11B,44,42,57,34,50,0,4,4:56,ok
Bernadya,Kita Kubur Sampai Mati,81,C Major,8B,33,37,24,52,90,2,4,4:15,ok
Zara Larsson,Lush Life,98,G Minor,6A,71,69,80,94,13,0,5,3:21,ok
Tommy Richman,MILLION DOLLAR BABY,138,C♯ Minor,12A,70,85,92,82,10,0,4,2:35,ok
Ariana Grande,"break up with your girlfriend, i'm bored",170,F Minor,4A,55,73,34,76,4,0,9,3:10,ok
Cheat Codes,Stay With You,140,D Minor,7A,51,74,35,50,10,0,4,3:32,ok
BTS,Stay Gold,129,C♯ Major,3B,63,72,55,61,9,0,5,4:04,ok
Lomba Sihir,Ribuan Memori,96,D Major,10B,68,73,92,63,12,0,3,4:16,ok
TWICE,MORE & MORE,107,F Major,7B,84,74,56,63,3,0,6,3:20,ok
NF,Let You Down,148,F Minor,4A,71,66,46,79,31,0,12,3:32,ok
Duncan Laurence,Arcade,72,A Minor,8A,33,46,27,75,82,0,4,3:04,ok
Rizky Febian,Penantian Berharga,125,F Major,7B,56,74,73,60,57,0,5,3:39,ok
BLACKPINK,Bet You Wanna,112,G Major,9B,66,65,67,60,0,0,16,2:41,ok
Anji,Dia - Hits Single,132,B♭ Major,6B,24,64,41,54,89,0,4,3:27,ok
Raisa,Kali Kedua,138,F♯ Major,2B,52,52,31,63,82,0,4,4:17,ok
Naif,Air & Api,135,C Major,8B,87,70,88,57,24,0,4,3:18,ok
Sheila On 7,Kita - Acoustic,119,B Major,1B,53,77,62,49,14,0,4,3:31,ok
Ada Band,Haruskah Kumati,100,C♯ Minor,12A,33,81,27,0,83,0,3,2:56,ok
d4vd,Sleep Well,155,A♭ Major,4B,36,40,19,73,80,0,3,2:56,ok
BLACKPINK,Love To Hate Me,162,A♭ Major,4B,64,69,60,63,3,0,16,2:52,ok
girl in red,we fell in love in october,130,G Major,9B,37,57,24,86,11,18,3,3:04,ok
Sam Smith,Too Good At Goodbyes - Edit,92,F Major,7B,37,72,47,82,64,0,4,3:21,ok
Bazzi,Mine,143,E Major,12B,79,71,72,72,2,0,7,2:11,ok
SZA,BMF,128,A♯ Minor,3A,55,79,97,77,51,2,3,3:01,ok
Float,Pulang,94,C Major,8B,43,74,77,0,63,4,3,3:14,ok
Kate Bush,Running Up That Hill (A Deal With God),108,A♯ Minor,3A,55,63,19,88,72,0,5,4:59,ok
Kerispatih,Demi Cinta,135,E Major,12B,63,50,25,73,10,0,3,4:42,ok
Dipha Barus,All Good,100,E♭ Major,5B,75,80,50,52,34,0,11,3:13,ok
*NSYNC,Bye Bye Bye,173,G♯ Minor,1A,93,61,86,80,3,0,5,3:20,ok
Rudimental,These Days,92,C Major,8B,81,65,55,68,19,0,5,3:31,ok
KISS OF LIFE,Igloo,140,B Minor,10A,61,92,87,74,17,0,22,2:12,ok
Woro Widowati,Menepi,125,E Major,12B,63,76,81,0,64,0,3,4:56,ok
mgk,Bad Things (with Camila Cabello),138,D Major,10B,69,70,31,72,21,0,15,3:59,ok
V,Sweet Night,92,E♭ Major,5B,34,46,15,69,49,0,3,3:34,ok
Arsy Widianto,Sejauh Dua Benua,100,B♭ Major,6B,44,78,45,38,71,0,4,4:05,ok
Maroon 5,Beautiful Mistakes,99,B♭ Major,6B,68,71,72,75,4,0,3,3:47,ok
Martin Garrix,Ocean,140,C Minor,5A,69,51,22,66,58,0,4,3:36,ok
SEVENTEEN,HOT,112,F Minor,4A,78,77,64,68,5,0,4,3:18,ok
Calvin Harris,This Is What You Came For,124,A Minor,8A,93,63,47,79,20,12,3,3:42,ok
Kendrick Lamar,All The Stars,97,A♭ Major,4B,63,70,56,90,6,0,6,3:52,ok
Logic,1-800-273-8255,100,F Minor,4A,57,62,36,77,57,0,5,4:10,ok
Post Malone,Wow.,100,B Minor,10A,54,83,39,78,14,0,21,2:30,ok
Post Malone,Psycho,140,A♭ Major,4B,56,75,46,77,55,0,11,3:41,ok
Lana Del Rey,Radio,75,D Major,10B,86,42,20,60,19,0,7,3:35,ok
Loreen,Tattoo,150,D♯ Minor,2A,78,55,30,81,24,0,8,3:03,ok
Ziva Magnolya,Munafik,143,F Major,7B,27,38,27,49,91,0,3,3:14,ok
MikkyZia,Aku Dah Lupa,206,C♯ Minor,12A,56,72,62,72,37,0,8,3:02,ok
AURORA,Runaway,115,B Major,1B,28,44,13,73,63,0,4,4:09,ok
Twenty One Pilots,Heathens,90,E Minor,9A,40,73,55,84,8,0,3,3:16,ok
Yellow Claw,Till It Hurts,145,A♭ Major,4B,89,55,28,60,0,0,3,3:09,ok
Kunto Aji,Selaras,74,A♭ Major,4B,42,29,32,57,90,22,4,4:33,ok
Sia,Cheap Thrills,90,F♯ Minor,11A,70,63,73,71,5,0,11,3:32,ok
Shawn Mendes,Wonder,140,C♯ Minor,12A,64,33,13,66,13,0,6,2:53,ok
Haico,Bahagia Bersamamu,107,D Major,10B,42,81,41,43,89,0,5,3:34,ok
James Arthur,Naked,102,F♯ Major,2B,61,53,29,70,8,0,4,3:53,ok
Jaz,Katakan,146,A Major,11B,52,61,30,31,66,0,5,4:11,ok
Dua Lipa,Break My Heart,113,E Minor,9A,73,73,47,79,17,0,9,3:42,ok
HONNE,Location Unknown ◐,92,F Major,7B,29,51,40,38,94,0,4,5:28,ok
Maman Fvndy,Nan Ko Paham,121,C Minor,5A,63,73,57,1,57,9,3,4:22,ok
Ekhsan,Pergi Tak Meninggalkan,120,A Major,11B,37,60,27,29,80,0,3,4:00,ok
LANY,Malibu Nights,74,B Major,1B,42,56,19,74,70,0,20,4:47,ok
Kendrick Lamar,HUMBLE.,150,C♯ Minor,12A,62,91,42,85,0,0,10,2:57,ok
Doja Cat,Boss Bitch,126,A♯ Minor,3A,96,71,57,75,13,0,22,2:14,ok
JENNIE,You & Me,112,A Major,11B,57,79,56,67,2,0,6,2:59,ok
Jimin,Who,116,C Minor,5A,76,66,84,85,0,0,3,2:51,ok
ENHYPEN,Bite Me,105,C♯ Major,3B,78,80,69,80,28,0,14,2:38,ok
iKON,KILLING ME,128,A Minor,8A,67,76,51,59,46,0,7,3:14,ok
Billie Eilish,wish you were gay,118,G Major,9B,35,85,28,74,39,0,24,3:42,ok
Marion Jola,Pergi Menjauh,88,A Major,11B,35,57,20,25,73,0,3,3:20,ok
Starley,Call on Me - Ryan Riback Remix,105,C Major,8B,84,67,72,72,6,0,4,3:42,ok
Sasya Arkhisna,NEMEN,120,D Major,10B,65,50,38,43,58,0,3,5:16,ok
Vierra,Kesepian,148,A♭ Major,4B,39,60,27,73,72,0,3,4:10,ok
D’MASIV,Cinta Ini Membunuhku,146,C Major,8B,51,45,31,72,1,0,3,4:04,ok
NCT DREAM,Dive Into You,76,E Major,12B,72,77,58,52,23,0,5,3:13,ok
Camila Cabello,Never Be the Same,130,C Major,8B,71,64,24,81,18,0,7,3:47,ok
Happy Asmara,Rungkad,135,E Major,12B,71,74,61,31,73,5,4,4:18,ok
Alan Walker,Tired,124,D Major,10B,88,69,49,60,4,0,6,3:12,ok
DJ ManikCi,DJ STECU STELAN CUEK - KALAU MEMANG COCOK BISA DATANG KERUMAH,106,A Major,11B,70,91,84,54,15,0,3,4:05,ok
Nyoman Paul,The Way You Look At Me,134,C♯ Major,3B,29,49,33,57,82,0,3,3:28,ok
Monita Tahalea,Memulai Kembali,95,D Major,10B,45,65,71,45,85,0,3,3:51,ok
YK FVNKY,DJ TIWAS TAK GONDELI TENANAN ( KISINAN ),130,A Major,11B,54,64,49,61,65,1,3,4:35,ok
Barasuara,Pancarona,90,E Minor,9A,90,49,27,63,0,40,4,4:21,ok
Shawn Mendes,Lost In Japan,105,B♭ Major,6B,74,71,42,71,26,0,37,3:21,ok
Cakra Khan,Kepada Hati,136,C♯ Major,3B,44,33,20,59,56,0,3,4:25,ok
Arctic Monkeys,Do I Wanna Know?,85,F Major,7B,53,55,41,87,19,0,3,4:32,ok
Sam Smith,Like I Can,100,G Minor,6A,63,66,48,72,35,0,4,2:47,ok
LE SSERAFIM,UNFORGIVEN,104,E Minor,9A,88,80,38,69,11,0,5,3:02,ok
BTS,Take Two,93,G Major,9B,59,62,57,73,3,0,3,3:50,ok
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",113,C Major,8B,83,67,70,72,1,0,7,3:58,ok
Ed Sheeran,Castle on the Hill,135,D Major,10B,83,46,47,78,2,0,10,4:21,ok
Tangga,Cinta Begini,124,D Major,10B,47,51,24,53,85,0,3,4:10,ok
Red Velvet,Queendom,120,F Major,7B,90,70,51,59,18,0,8,3:02,ok
Brisia Jodie,Rekah,206,D Major,10B,48,47,25,27,50,0,4,3:53,ok
Lauv,Paris in the Rain,80,E♭ Major,5B,41,41,53,72,77,0,5,3:25,ok
MARK,Child,85,F♯ Major,2B,81,67,44,51,15,0,8,3:31,ok
Ed Sheeran,Dive,135,E Major,12B,39,76,53,76,36,0,4,3:58,ok
Acha Septriasa,Berdua Lebih Baik,152,F Minor,4A,66,59,70,69,35,0,3,3:41,ok
IU,Love wins all,101,C Major,8B,45,50,32,67,82,0,3,4:31,ok
Rey Mbayang,Di Sepertiga Malam,182,A Major,11B,44,33,33,44,54,0,4,4:31,ok
Rich Brian,Dat $tick,108,C♯ Major,3B,51,92,17,56,10,0,5,2:07,ok
IZ*ONE,La Vie en Rose,116,A Minor,8A,91,70,62,62,9,0,5,3:39,ok
Girls' Generation,FOREVER 1,124,A Major,11B,87,62,30,58,4,0,5,3:23,ok
Tulus,Satu Kali,150,A Major,11B,60,55,44,58,12,0,3,3:45,ok
BTS,Run BTS,77,A♭ Major,4B,82,72,70,79,2,0,17,3:25,ok
Rossa,Bulan Dikekang Malam,91,F Major,7B,37,34,34,56,90,4,3,3:54,ok
Ariana Grande,My Everything,106,B Major,1B,27,46,42,66,88,0,3,2:49,ok
Cardi B,WAP,133,C♯ Major,3B,45,94,36,74,2,0,38,3:08,ok
Sheila On 7,Sephia,186,B♭ Major,6B,53,40,17,69,37,0,4,4:56,ok
TOMORROW X TOGETHER,0X1=LOVESONG (I Know I Love You) feat. Seori,105,C Major,8B,84,58,48,69,6,0,8,3:22,ok
Benson Boone,Beautiful Things,105,B♭ Major,6B,47,47,22,84,15,0,6,3:00,ok
Tulus,Nala,90,A♭ Major,4B,35,54,56,66,87,0,3,4:20,ok
TWICE,YES or YES,138,B Major,1B,91,70,74,71,5,0,4,3:58,ok
gnash,"i hate u, i love u",93,F♯ Minor,11A,28,49,18,75,69,0,30,4:11,ok
Tiko,Stressed Out,118,C Minor,5A,75,79,82,44,17,0,5,2:04,ok
IVE,Kitsch,102,B Major,1B,79,80,46,56,1,0,5,3:15,ok
Dave,Raindance,107,C♯ Major,3B,74,80,25,96,24,6,8,3:40,ok
USHER,My Boo,86,F Major,7B,51,66,68,81,26,0,12,3:43,ok
Drake,One Dance,104,C♯ Major,3B,63,79,37,91,1,0,5,2:54,ok
DJ Snake,A Different Way,105,A♭ Major,4B,76,78,59,64,50,0,4,3:18,ok
Red Velvet,Bad Boy,150,D Major,10B,74,71,81,69,19,0,5,3:31,ok
Coldplay,Hymn for the Weekend,90,C Minor,5A,69,49,41,84,21,0,4,4:18,ok
Maher Zain,Qalbi Fil Madinah,93,A♭ Major,4B,58,70,78,65,41,0,4,3:25,ok
Cash Cash,All My Love,135,B Minor,10A,87,59,30,45,15,0,9,3:11,ok
Alessia Cara,How Far I'll Go,181,A Major,11B,54,31,15,63,16,0,35,2:56,ok
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,102,G Minor,6A,71,66,71,66,4,0,11,3:18,ok
Via Vallen,Meraih Bintang,90,C Minor,5A,83,83,81,47,37,0,6,3:04,ok
Hindia,Apapun Yang Terjadi,94,C Major,8B,48,79,69,55,4,0,3,3:49,ok
Keala Settle,This Is Me,192,D Major,10B,70,28,10,73,1,0,19,3:55,ok
Glenn Fredly,Kembali Ke Awal,128,E Major,12B,46,54,30,44,66,0,3,4:23,ok
i-dle,Nxde,136,C Major,8B,91,73,65,71,4,0,17,2:58,ok
Justin Bieber,Friends,105,A♭ Major,4B,74,74,63,71,0,0,4,3:09,ok
OKAAY,Peneman Malam Sepi,76,A Major,11B,64,55,45,44,43,0,6,3:25,ok
Bunga Citra Lestari,Cinta Sejati - Remastered 2024,90,F Major,7B,40,43,25,69,86,0,3,5:01,ok
JKT48,Fortune Cookie Yang Mencinta,122,D Major,10B,96,71,79,56,1,0,6,4:43,ok
The Vamps,All Night,145,A♭ Major,4B,80,54,51,66,0,0,4,3:18,ok
Billie Eilish,bury a friend,120,A♭ Major,4B,39,91,20,74,74,16,33,3:13,ok
i-dle,TOMBOY,78,C Minor,5A,65,64,46,66,42,1,6,3:23,ok
LE SSERAFIM,EASY,165,C Major,8B,70,74,60,74,19,0,5,2:45,ok
Khalid,Love Lies,144,F♯ Major,2B,65,71,34,73,10,0,4,3:22,ok
AyUb YETE,DJ MARI BERCINTA,140,C♯ Major,3B,56,90,96,47,9,0,9,3:17,ok
Arvian Dwi,Hatimu Milik Dia,120,B Major,1B,39,50,24,71,9,0,3,4:06,ok
Tiara Andini,Gemintang Hatiku,120,A Major,11B,78,72,87,55,25,0,4,3:56,ok
88rising,History,75,C♯ Major,3B,59,72,42,55,61,0,14,3:27,ok
SHAUN,Way Back Home,100,B♭ Major,6B,74,75,56,68,41,0,3,3:34,ok
Tulus,Teman Hidup,83,D Major,10B,26,72,43,64,87,0,3,3:43,ok
David Guetta,Don't Leave Me Alone,128,E Minor,9A,74,66,48,52,12,0,5,3:04,ok
Rita Ora,Anywhere,107,B Minor,10A,80,63,32,62,4,0,6,3:35,ok
Harry Styles,Falling,110,E Major,12B,27,57,6,84,84,0,3,4:00,ok
Imagine Dragons,Enemy,77,B Minor,10A,78,73,56,75,24,0,27,2:53,ok
Glenn Fredly,Sedih Tak Berujung,124,G Major,9B,47,33,19,64,62,0,4,3:48,ok
Tulus,Kelana,93,G Minor,6A,40,75,40,55,78,0,7,3:12,ok
Vierra,Jadi Yang Kuinginkan,142,E♭ Major,5B,87,53,80,65,19,0,4,3:08,ok
Raisa,Usai Di Sini,121,D Major,10B,20,45,55,62,97,0,4,4:43,ok
Stray Kids,God’s Menu,157,F Major,7B,77,69,48,77,1,0,5,2:48,ok
blackbear,hot girl bummer,130,F♯ Minor,11A,56,78,69,74,13,0,8,3:08,ok
Kalia Siska,Ku Puja Puja - DJ Kentrung Remix,115,C Major,8B,71,70,81,44,16,0,3,4:51,ok
Glenn Fredly,Akhir Cerita Cinta - Ost. Cinta Silver (Re-arrange Version),104,B Minor,10A,27,55,30,44,79,0,3,4:42,ok
Glenn Fredly,Kasih Putih,124,E♭ Major,5B,30,44,24,73,82,0,3,3:57,ok
Kygo,First Time,90,C Minor,5A,59,63,68,62,20,0,11,3:14,ok
Macklemore,Glorious,140,C Minor,5A,79,73,36,77,3,0,5,3:40,ok
Dipha Barus,Money Honey (Count Me In),95,C♯ Major,3B,64,72,56,34,23,0,4,3:03,ok
FIFTY FIFTY,Cupid - Twin Version,120,B Minor,10A,59,78,73,69,44,0,3,2:54,ok
BTS,Butter,110,A♭ Major,4B,46,76,70,69,0,0,9,2:44,ok
EXO,Tempo,116,C Major,8B,84,69,52,68,24,0,10,3:44,ok
Rio Febrian,Aku Bertahan,140,E Major,12B,50,60,29,47,54,0,2,4:18,ok
JEON SOMI,XOXO,145,A Major,11B,61,70,53,55,7,0,3,3:28,ok
Ravyn Lenae,Love Me Not,114,C Major,8B,74,79,82,86,29,0,3,3:33,ok
Raisa,Mantan Terindah,92,E Major,12B,36,41,19,67,69,0,3,3:44,ok
The Weeknd,Save Your Tears,118,C Major,8B,83,68,64,86,2,0,3,3:36,ok
Jason Derulo,Swalla,98,C♯ Major,3B,79,69,75,71,15,0,12,3:36,ok
Bruno Mars,Smokin Out The Window,82,D Major,10B,62,63,85,66,6,0,4,3:17,ok
NCT U,90's Love,108,C♯ Minor,12A,92,74,70,50,7,0,6,3:34,ok
Rita Ora,Your Song,118,C♯ Major,3B,62,86,96,60,16,0,5,3:01,ok
Rizky Febian,Menari,112,C Major,8B,60,56,51,45,9,0,4,4:06,ok
Red Velvet,미래,100,G Major,9B,87,72,56,56,48,0,4,3:36,ok
